"Package","Version","Built"
"askpass","1.2.1","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:34 UTC; unix"
"base64enc","0.1-6","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:07 UTC; unix"
"bigD","0.3.1","R 4.6.0; ; 2026-04-24 17:04:40 UTC; unix"
"bitops","1.1-0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-07-31 08:02:12 UTC; unix"
"brio","1.1.5","R 4.6.0; aarch64-unknown-linux-gnu; 2026-04-23 22:29:14 UTC; unix"
"bslib","0.12.0","R 4.6.0; ; 2026-08-12 20:37:20 UTC; unix"
"cachem","1.1.0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:46 UTC; unix"
"callr","3.8.0","R 4.6.0; ; 2026-08-12 20:34:11 UTC; unix"
"cli","3.6.6","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:10 UTC; unix"
"commonmark","2.0.0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:09 UTC; unix"
"cpp11","0.5.5","R 4.6.0; ; 2026-08-12 20:33:11 UTC; unix"
"crayon","1.5.3","R 4.6.0; ; 2026-08-12 20:33:09 UTC; unix"
"curl","8.0.0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-26 04:47:35 UTC; unix"
"desc","1.4.3","R 4.6.0; ; 2026-04-23 22:34:39 UTC; unix"
"diffobj","0.3.9","R 4.6.0; aarch64-unknown-linux-gnu; 2026-09-12 04:32:36 UTC; unix"
"digest","0.6.39","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:10 UTC; unix"
"dplyr","1.2.1","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:36:14 UTC; unix"
"evaluate","1.0.5","R 4.6.0; ; 2026-08-12 20:33:07 UTC; unix"
"farver","2.1.2","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:07 UTC; unix"
"fastmap","1.2.0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:09 UTC; unix"
"fontawesome","0.5.3","R 4.6.0; ; 2026-08-12 20:34:24 UTC; unix"
"fs","2.1.0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:22 UTC; unix"
"generics","0.1.4","R 4.6.0; ; 2026-08-12 20:33:11 UTC; unix"
"ggplot2","4.0.3","R 4.6.0; ; 2026-08-12 20:35:10 UTC; unix"
"glue","1.8.1","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:11 UTC; unix"
"gt","1.3.0","R 4.6.0; ; 2026-04-24 18:24:21 UTC; unix"
"gtable","0.3.6","R 4.6.0; ; 2026-08-12 20:34:27 UTC; unix"
"highr","0.12","R 4.6.0; ; 2026-08-12 20:34:09 UTC; unix"
"htmltools","0.5.9","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:49 UTC; unix"
"htmlwidgets","1.6.4","R 4.6.0; ; 2026-08-12 20:38:38 UTC; unix"
"httr2","1.3.0","R 4.6.0; ; 2026-07-14 05:21:39 UTC; unix"
"isoband","0.3.0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:51 UTC; unix"
"jquerylib","0.1.4","R 4.6.0; ; 2026-08-12 20:34:25 UTC; unix"
"jsonlite","2.0.0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:11 UTC; unix"
"juicyjuice","0.1.0","R 4.6.0; ; 2026-04-24 17:14:19 UTC; unix"
"knitr","1.52","R 4.6.0; ; 2026-09-07 04:02:14 UTC; unix"
"labeling","0.4.3","R 4.6.0; ; 2026-08-12 20:33:07 UTC; unix"
"lifecycle","1.0.5","R 4.6.0; ; 2026-08-12 20:33:51 UTC; unix"
"litedown","0.11","R 4.6.0; ; 2026-08-27 05:37:47 UTC; unix"
"lubridate","1.9.5","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:34:42 UTC; unix"
"magrittr","2.0.5","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:11 UTC; unix"
"markdown","2.0","R 4.6.0; ; 2026-08-12 20:34:39 UTC; unix"
"memoise","2.0.1","R 4.6.0; ; 2026-08-12 20:34:23 UTC; unix"
