"family","status","rows","requests","detail","checked_at"
"discovery","live_verified",3,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:25 UTC"
"metadata","live_verified",1,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:26 UTC"
"publisher_discovery","live_verified",1,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:26 UTC"
"publisher_apps","live_verified",3,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:26 UTC"
"sales","live_verified",4,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:26 UTC"
"active_users","live_verified",37,3,"Request, parser and independent raw comparison passed","2026-09-21 10:10:27 UTC"
"rankings","live_verified",2,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:27 UTC"
"charts","live_verified",2,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:29 UTC"
"market","live_verified",4,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:29 UTC"
"retention_facets","live_verified",13,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:29 UTC"
"retention_legacy","unavailable",0,1,"retention/legacy [529479190]: Request to ios/usage/retention failed (HTTP 404).","2026-09-21 10:10:30 UTC"
"demographics","live_verified",13,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:30 UTC"
"sessions","live_verified",3,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:31 UTC"
"ratings","live_verified",14,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:31 UTC"
"reviews","live_verified",21,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:31 UTC"
"tags","live_verified",1,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:31 UTC"
"fields","live_verified",1,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:31 UTC"
"sales_ios","live_verified",4,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:31 UTC"
"sales_android","live_verified",4,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:31 UTC"
"sales_batch","live_verified",8,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:31 UTC"
"metadata_unified_to_ios","live_verified",2,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:31 UTC"
"publisher_apps_ios","live_verified",2,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:31 UTC"
"metadata_ios","live_verified",1,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:32 UTC"
"publisher_rankings","live_verified",2,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:32 UTC"
"active_rankings","live_verified",2,1,"Request, parser and independent raw comparison passed","2026-09-21 10:10:32 UTC"
